Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"MGL","1,116.80","1,122.80","1,097.30","1,099.65","-5.35","-0.48","4.05","44.92","1,284.40","779.65","30.46","-1.76"
"TVSMOTOR","541.70","543.55","533.05","537.00","-2.70","-0.50","6.62","35.69","666.00","421.15","21.38","5.70"
"UNIONBANK","35.00","35.20","34.60","34.65","-0.20","-0.57","25.54","8.88","45.25","23.10","37.77","3.90"
"CASTROLIND","142.35","142.35","140.00","140.30","-0.85","-0.60","2.91","4.10","154.90","104.00","25.89","7.80"
"VOLTAS","1,249.25","1,256.80","1,233.20","1,240.10","-8.50","-0.68","8.13","100.93","1,265.00","639.40","86.09","27.37"
"CUMMINSIND","1,030.00","1,041.25","1,009.55","1,019.85","-7.95","-0.77","2.80","28.77","1,064.45","425.00","124.74","2.37"
"BALKRISIND","2,664.80","2,664.80","2,615.00","2,628.00","-20.55","-0.78","1.51","39.80","2,723.80","1,299.10","94.84","14.89"
"BHEL","57.15","59.15","56.30","56.70","-0.45","-0.79","399.38","231.28","79.55","26.75","80.00","6.48"
"FEDERALBNK","82.50","82.55","80.80","81.20","-0.65","-0.79","56.49","46.13","92.50","45.35","67.60","1.37"
"RECLTD","155.60","157.25","153.65","154.15","-1.25","-0.80","21.66","33.72","167.80","91.80","54.15","6.75"
"BATAINDIA","1,804.95","1,806.00","1,772.05","1,782.75","-15.95","-0.89","1.28","22.87","1,848.70","1,263.60","32.72","4.36"
"IBULHSGFIN","230.80","238.20","224.55","227.55","-2.10","-0.91","120.20","280.42","313.70","127.75","50.05","1.18"
"BANKINDIA","55.05","55.15","53.90","54.00","-0.60","-1.10","35.05","19.11","101.40","38.20","33.50","-14.96"
"CONCOR","715.00","721.25","699.45","703.40","-8.55","-1.20","6.41","45.44","754.40","351.00","86.53","8.48"
"EXIDEIND","182.45","183.15","179.10","179.45","-2.30","-1.27","24.56","44.39","219.30","154.05","13.97","12.61"
"PFC","138.70","139.90","136.10","136.40","-1.85","-1.34","19.24","26.56","140.80","82.05","58.24","8.90"
"RAMCOCEM","973.60","978.65","955.40","958.65","-13.25","-1.36","1.92","18.51","1,132.70","687.80","32.39","-0.16"
"IDFCFIRSTB","48.70","49.10","47.70","47.80","-0.70","-1.44","170.30","82.36","69.30","26.85","68.01","11.42"
"CANBK","161.00","161.70","157.50","158.30","-2.50","-1.55","49.40","78.84","174.60","82.25","79.58","1.67"
"BANKBARODA","80.05","80.20","78.10","78.40","-1.25","-1.57","135.58","107.03","99.85","39.50","88.69","3.84"
"AUBANK","1,114.00","1,124.40","1,077.85","1,085.20","-18.35","-1.66","5.18","57.00","1,389.85","616.70","65.84","-20.19"
"SAIL","110.70","111.50","108.00","108.55","-1.90","-1.72","232.43","255.28","151.30","32.65","211.93","-8.93"
"ASHOKLEY","129.70","130.00","126.25","126.60","-2.25","-1.75","62.84","80.32","143.30","66.85","72.01","5.76"
"GLENMARK","512.50","515.45","502.00","502.85","-9.15","-1.79","4.68","23.81","690.95","442.05","6.82","-3.60"
"LICHSGFIN","443.85","443.85","430.00","431.75","-9.10","-2.06","23.20","101.14","542.45","260.00","55.28","14.20"
"ESCORTS","1,514.80","1,514.90","1,471.20","1,477.00","-31.40","-2.08","6.14","91.53","1,571.90","1,100.00","21.69","13.94"
"L&TFH","88.25","88.50","85.60","85.95","-1.85","-2.11","40.43","35.10","113.40","51.96","44.33","8.18"
"BHARATFORG","768.00","774.90","745.05","747.40","-16.90","-2.21","9.39","71.20","844.80","427.50","67.33","0.86"
"JINDALSTEL","372.90","372.90","362.25","362.90","-8.25","-2.22","42.22","155.09","501.70","160.00","106.43","-2.64"
"TATAPOWER","145.00","145.35","139.50","139.90","-3.75","-2.61","161.07","228.69","145.35","50.10","161.74","11.12"
"SUNTV","531.00","533.60","510.20","514.00","-14.60","-2.76","29.02","151.37","586.55","407.80","11.57","3.36"
"APOLLOTYRE","238.20","238.50","228.25","228.85","-8.10","-3.42","36.74","85.20","261.25","113.55","88.66","9.50"

