Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"SEQUENT","219.40","224.00","218.00","220.20","2.20","1.01","8.96","19.84","336.50","136.85","46.41","-6.20"
"AVANTIFEED","551.80","556.50","551.25","556.25","5.45","0.99","0.97","5.41","674.85","410.00","13.54","3.25"
"ZENSARTECH","510.80","524.80","506.00","512.75","5.00","0.98","7.00","36.27","587.00","172.30","155.48","17.08"
"STARCEMENT","109.00","111.00","108.05","109.05","1.05","0.97","3.17","3.48","120.00","75.35","28.67","-6.15"
"VENKEYS","3,029.90","3,075.05","2,984.00","3,019.60","28.65","0.96","0.49","14.93","3,955.00","1,285.00","128.11","15.75"
"SOBHA","819.00","840.00","791.20","818.20","7.60","0.94","6.73","55.13","848.00","200.25","249.88","40.85"
"SUNCLAYLTD","3,395.45","3,427.00","3,382.60","3,410.00","31.45","0.93","0.02","0.82","4,250.00","1,553.85","110.05","-4.06"
"INTELLECT","697.00","717.05","695.50","698.35","6.30","0.91","4.20","29.75","892.00","195.25","244.10","12.87"
"RALLIS","288.00","296.80","288.00","289.75","2.55","0.89","3.93","11.46","362.60","232.35","1.31","6.17"
"IIFL","274.80","276.00","266.65","274.50","2.40","0.88","3.45","9.38","346.30","73.80","248.35","-3.45"
"AAVAS","2,582.00","2,649.00","2,525.00","2,585.25","22.60","0.88","1.11","28.57","3,074.35","1,310.05","90.07","7.56"
"JMFINANCIL","92.00","93.10","90.00","92.25","0.75","0.82","12.45","11.47","117.70","73.00","21.62","1.82"
"MRPL","44.25","45.15","43.55","44.55","0.35","0.79","10.12","4.48","56.60","25.25","62.30","6.96"
"OFSS","4,715.00","4,849.00","4,699.50","4,735.20","37.15","0.79","2.05","98.10","4,931.55","2,931.05","55.38","3.26"
"KANSAINER","628.00","634.00","625.05","630.00","4.95","0.79","3.67","23.11","680.00","461.05","31.81","-0.19"
"VMART","3,685.00","3,685.00","3,584.40","3,617.60","28.15","0.78","0.20","7.22","4,085.00","1,880.50","73.43","2.13"
"IEX","603.00","615.00","603.00","605.55","4.35","0.72","23.32","142.09","619.20","181.00","218.96","40.60"
"SHOPERSTOP","251.45","257.00","248.60","251.60","1.75","0.70","1.24","3.14","290.60","153.52","49.27","5.94"
"EMAMILTD","589.55","598.15","585.60","588.30","3.90","0.67","2.09","12.41","621.80","334.40","60.26","0.03"
"REDINGTON","145.00","145.60","144.10","144.90","0.85","0.59","6.93","10.03","179.00","54.20","26.05","-3.34"
"ZEEL","322.00","333.00","306.40","320.05","1.85","0.58","600.25","1,927.23","362.90","166.80","66.87","86.02"
"WHIRLPOOL","2,265.00","2,275.00","2,257.05","2,270.00","13.10","0.58","1.55","35.26","2,787.00","1,971.15","10.56","13.73"
"ASAHIINDIA","359.20","365.30","359.20","361.25","2.05","0.57","0.23","0.82","408.30","201.10","73.05","8.13"
"GRANULES","323.50","329.50","322.25","323.65","1.85","0.57","12.60","41.05","437.95","295.00","-10.89","-3.08"
"JAMNAAUTO","89.70","91.10","88.80","90.45","0.50","0.56","5.87","5.28","100.00","39.80","92.24","11.60"
"SRF","11,060.70","11,097.95","10,850.00","11,059.00","60.15","0.55","1.08","119.08","11,378.20","3,993.60","168.62","23.11"
"SYMPHONY","1,058.90","1,063.00","1,041.00","1,060.00","5.80","0.55","1.18","12.42","1,528.80","820.00","23.67","16.86"
"COFORGE","5,710.45","5,832.95","5,580.25","5,683.05","30.30","0.54","3.35","191.44","5,832.95","2,077.50","155.60","14.98"
"ATGL","1,403.00","1,425.00","1,382.00","1,410.00","7.50","0.53","2.85","40.39","1,679.00","174.25","-","-"
"SOLARA","1,665.00","1,677.25","1,644.95","1,666.10","7.90","0.48","0.30","4.93","1,859.95","916.20","76.39","0.30"
"SOLARINDS","2,000.00","2,025.00","1,993.70","2,009.40","9.50","0.48","0.35","7.05","2,049.00","978.00","93.89","17.74"
"HSCL","52.55","55.00","51.40","52.50","0.25","0.48","74.66","39.72","62.30","37.50","4.17","19.32"
"CHALET","209.50","209.50","202.75","207.05","0.95","0.46","5.61","11.58","217.70","122.65","45.25","26.83"
"RITES","275.00","278.35","273.60","276.00","1.25","0.45","1.05","2.90","303.00","232.20","12.77","7.62"
"SUPREMEIND","2,270.00","2,274.00","2,245.00","2,260.00","9.85","0.44","0.26","5.94","2,360.00","1,322.60","60.20","11.71"
"CAMS","3,442.25","3,464.40","3,413.25","3,420.00","14.65","0.43","0.86","29.47","4,067.40","1,260.00","-","-"
"HONAUT","44,245.00","44,487.00","43,695.45","44,166.60","170.80","0.39","0.02","7.98","49,990.00","27,850.00","36.82","12.09"
"ENDURANCE","1,570.60","1,595.00","1,563.40","1,568.40","6.00","0.38","1.49","23.35","1,829.95","974.95","47.77","-3.16"
"PGHL","5,400.00","5,418.95","5,371.20","5,380.90","19.60","0.37","0.13","6.93","7,500.00","4,800.00","8.45","-1.07"
"DHANUKA","835.00","836.75","820.00","835.60","3.05","0.37","0.64","5.28","1,053.90","658.00","9.07","-2.49"
"SJVN","27.05","27.20","26.60","27.10","0.10","0.37","9.37","2.53","30.80","20.65","22.07","5.24"
"DHANI","182.00","184.30","181.25","181.70","0.65","0.36","5.65","10.31","395.95","155.10","-","-"
"GODREJAGRO","656.25","658.00","647.55","649.50","2.35","0.36","0.58","3.80","746.80","475.20","29.15","5.49"
"ITI","119.10","120.95","118.00","118.80","0.40","0.34","2.80","3.34","143.80","102.00","-3.10","5.09"
"PRSMJOHNSN","123.50","125.10","122.00","123.00","0.40","0.33","0.58","0.72","149.45","54.05","118.28","-1.99"
"COROMANDEL","807.60","825.00","806.00","808.85","2.70","0.33","4.90","39.97","956.00","682.00","2.71","3.19"
"SKFINDIA","3,025.00","3,030.00","2,992.20","3,010.00","10.00","0.33","0.14","4.12","3,263.00","1,430.10","103.43","7.50"
"TASTYBITE","18,351.00","18,550.00","18,350.60","18,470.05","56.25","0.31","0.01","1.27","21,487.00","9,801.00","83.90","0.58"
"SPARC","291.00","292.95","289.00","290.95","0.85","0.29","2.61","7.58","312.00","141.00","71.45","2.83"
"WELCORP","128.00","129.00","126.80","127.70","0.35","0.27","7.36","9.40","165.90","97.65","24.83","10.51"
"UJJIVANSFB","20.00","20.05","19.80","19.90","0.05","0.25","12.50","2.49","44.60","17.80","-38.29","-1.73"
"RHIM","361.00","365.50","357.05","360.40","0.85","0.24","0.39","1.39","407.00","181.25","-","-"
"CAPLIPOINT","899.30","929.50","880.90","898.00","2.15","0.24","4.93","44.66","1,034.80","401.00","61.96","20.79"
"MINDAIND","739.00","739.95","730.30","735.00","1.75","0.24","0.80","5.91","834.00","309.55","125.60","1.77"
"SHRIRAMCIT","2,216.90","2,216.90","2,162.45","2,198.70","5.15","0.23","0.30","6.50","2,602.00","773.95","141.96","11.98"
"BLUEDART","6,477.35","6,494.95","6,407.35","6,459.35","14.25","0.22","0.08","5.04","6,544.00","2,662.65","131.67","13.72"
"BBTC","1,166.95","1,184.00","1,162.85","1,167.20","2.55","0.22","0.24","2.87","1,424.95","1,081.00","-12.49","1.03"
"BLISSGVS","112.35","112.35","111.00","111.70","0.25","0.22","0.71","0.79","221.00","91.65","-26.49","11.14"
"GODREJPROP","2,199.85","2,273.75","2,172.25","2,204.00","4.70","0.21","39.97","885.41","2,314.30","835.05","154.96","51.06"
"SPANDANA","592.45","595.95","589.25","593.30","1.25","0.21","0.31","1.86","830.00","479.80","14.12","-4.21"
"THERMAX","1,409.00","1,415.95","1,390.30","1,397.75","2.75","0.20","0.07","0.94","1,577.55","703.95","89.91","3.62"
"FINCABLES","500.00","502.80","491.10","500.35","1.00","0.20","0.84","4.18","557.70","255.50","84.12","9.98"
"ALKYLAMINE","3,930.00","3,952.00","3,900.75","3,925.90","7.15","0.18","0.41","16.20","4,749.00","1,138.00","29.00","-0.77"
"MANAPPURAM","175.20","176.70","173.40","174.30","0.30","0.17","76.37","133.75","218.00","139.10","19.10","6.61"
"BRIGADE","421.00","425.95","415.80","421.50","0.70","0.17","7.26","30.52","439.00","154.55","153.23","35.66"
"CREDITACC","662.90","663.80","653.00","658.00","1.05","0.16","0.41","2.73","839.95","542.10","-6.05","6.06"
"LAOPALA","297.70","300.95","294.75","296.65","0.40","0.14","0.56","1.66","326.00","196.35","41.53","9.02"
"DIXON","4,434.00","4,479.85","4,351.55","4,401.80","5.50","0.13","3.73","164.65","21,499.00","3,345.15","-49.90","15.27"
"RESPONIND","125.60","126.95","124.05","125.10","0.15","0.12","0.36","0.45","202.00","93.05","30.72","3.82"
"SCHNEIDER","115.50","118.10","114.55","114.95","0.10","0.09","4.37","5.08","147.15","67.60","43.51","-1.63"
"PHILIPCARB","255.30","262.50","252.60","255.00","0.20","0.08","13.95","36.01","277.00","116.25","110.05","6.67"
"ASTRAZEN","3,098.00","3,119.90","3,093.95","3,100.00","2.05","0.07","0.06","1.74","4,910.00","3,005.00","-28.17","0.47"
"TTKPRESTIG","9,045.00","9,045.00","8,937.65","8,960.00","5.25","0.06","0.01","0.77","9,589.15","5,350.00","44.94","1.65"
"BIRLACORPN","1,310.00","1,316.00","1,293.80","1,305.00","0.75","0.06","0.50","6.50","1,585.00","599.10","105.46","1.24"
"FORTIS","271.00","273.55","270.10","271.00","0.10","0.04","7.56","20.56","303.80","123.20","100.89","-3.23"
"IBREALEST","154.70","161.00","152.50","154.20","0.05","0.03","145.13","228.55","174.75","46.30","194.27","8.90"
"ZYDUSWELL","2,361.70","2,379.40","2,342.70","2,350.00","0.65","0.03","0.10","2.38","2,476.85","1,680.95","37.09","5.78"
"GARFIBRES","3,366.60","3,420.00","3,366.00","3,387.00","0.80","0.02","0.04","1.22","3,644.70","1,780.30","81.20","7.36"
"HEIDELBERG","259.75","259.75","255.75","256.80","0.05","0.02","0.66","1.69","284.95","174.20","43.06","1.12"
"UCOBANK","13.50","13.55","13.30","13.45","0.00","0.00","17.03","2.28","16.35","10.75","9.80","6.75"
"SUZLON","6.40","6.45","6.30","6.35","0.00","0.00","87.40","5.56","9.45","2.70","115.25","5.83"
"TRIDENT","24.75","24.85","24.30","24.35","0.00","0.00","54.83","13.43","26.25","6.25","277.52","19.07"
"GMMPFAUDLR","4,510.00","4,538.00","4,463.25","4,501.10","0.10","0.00","0.12","5.54","5,435.00","3,335.20","6.80","7.10"
"FCONSUMER","7.30","7.45","7.30","7.30","0.00","0.00","27.95","2.05","11.95","5.85","-12.05","7.35"
"ISEC","752.00","768.00","750.10","750.25","0.00","0.00","3.08","23.27","802.70","376.90","63.26","9.16"
"MMTC","43.95","44.30","43.40","43.60","0.00","0.00","5.81","2.55","63.95","15.70","158.75","4.81"
"BEL","208.00","210.50","207.15","207.40","-0.05","-0.02","31.97","66.78","210.70","86.35","120.99","16.75"
"NATCOPHARM","890.00","890.00","874.10","884.15","-0.25","-0.03","1.22","10.74","1,189.00","771.50","3.84","-1.64"
"JUSTDIAL","990.00","990.00","986.50","988.75","-0.40","-0.04","2.14","21.14","1,138.00","332.30","173.25","3.82"
"VALIANTORG","1,392.00","1,428.55","1,378.95","1,379.45","-0.50","-0.04","0.51","7.14","1,991.00","1,121.00","-","-"
"VARROC","296.00","303.00","294.15","294.70","-0.15","-0.05","2.61","7.77","477.65","260.00","0.58","2.18"
"FLUOROCHEM","1,784.85","1,820.00","1,755.55","1,765.95","-0.90","-0.05","1.19","21.33","1,825.00","442.15","246.81","2.87"
"BURGERKING","160.35","161.40","159.35","160.20","-0.10","-0.06","4.54","7.28","213.80","108.40","-","-"
"GAEL","175.40","176.35","173.10","173.85","-0.10","-0.06","1.29","2.25","201.60","100.28","-17.57","7.35"
"IRCTC","3,720.00","3,736.00","3,671.05","3,691.00","-3.05","-0.08","8.39","310.35","4,019.70","1,290.05","168.86","43.91"
"BEML","1,398.00","1,401.55","1,375.00","1,387.00","-1.40","-0.10","0.74","10.30","1,542.20","584.40","129.90","7.61"
"BAJAJCON","263.00","263.00","257.30","259.65","-0.25","-0.10","3.17","8.24","324.00","175.00","42.20","5.74"
"INGERRAND","986.35","994.00","974.75","980.05","-1.35","-0.14","0.09","0.84","1,074.90","555.00","63.94","5.74"
"VAIBHAVGBL","726.00","729.00","716.05","719.00","-1.10","-0.15","0.46","3.31","1,050.00","359.00","-60.98","-0.39"
"ABB","1,903.00","1,918.25","1,875.00","1,895.00","-3.10","-0.16","0.36","6.89","1,943.90","846.60","114.29","11.67"
"HAPPSTMNDS","1,475.00","1,475.00","1,430.05","1,430.05","-2.35","-0.16","1.67","24.23","1,580.00","307.00","-","-"
"GRSE","193.75","195.50","192.10","192.20","-0.35","-0.18","0.47","0.91","227.50","168.10","11.13","3.89"
"SUMICHEM","401.00","404.70","397.50","398.40","-0.75","-0.19","1.85","7.41","459.90","265.00","30.64","-0.20"
"RAIN","229.25","234.00","227.20","227.50","-0.45","-0.20","10.29","23.77","272.75","94.00","124.36","8.18"
"FSL","201.00","204.80","198.20","198.80","-0.40","-0.20","26.77","54.07","242.85","66.50","165.24","8.04"
"BASF","3,468.40","3,470.00","3,414.05","3,425.00","-6.70","-0.20","0.11","3.83","3,930.00","1,320.05","138.73","-2.54"
"ECLERX","2,292.15","2,351.00","2,260.05","2,287.65","-4.50","-0.20","0.41","9.42","2,457.00","669.00","229.87","32.56"
"ALOKINDS","23.10","23.20","22.90","22.95","-0.05","-0.22","20.23","4.65","32.25","18.65","-6.33","8.25"
"LAXMIMACH","8,138.00","8,138.90","7,951.20","7,956.05","-18.25","-0.23","0.04","3.19","8,880.45","3,442.00","126.03","1.55"
"WESTLIFE","573.00","577.05","561.00","569.15","-1.35","-0.24","1.10","6.29","584.50","355.10","53.91","10.93"
"RBLBANK","187.15","189.00","184.90","186.05","-0.45","-0.24","96.44","179.80","274.30","155.60","11.84","14.67"
"MAZDOCK","253.05","255.75","251.70","252.00","-0.65","-0.26","1.58","4.00","296.00","164.00","-","-"
"MAHABANK","18.50","18.50","18.15","18.20","-0.05","-0.27","18.48","3.38","32.00","10.55","63.23","0.83"
"VGUARD","259.70","259.85","255.40","257.55","-0.70","-0.27","1.59","4.09","285.00","162.60","53.30","7.16"
"ATUL","9,700.00","9,711.60","9,560.80","9,575.95","-26.45","-0.28","0.03","3.10","9,999.00","5,760.00","60.14","7.27"
"MAHSEAMLES","317.80","317.80","313.00","314.50","-0.90","-0.29","0.33","1.04","354.40","212.15","44.07","-1.63"
"GULFOILLUB","593.70","597.10","590.00","592.00","-1.70","-0.29","0.18","1.06","842.00","551.55","-7.41","2.71"
"CENTURYTEX","941.00","954.00","925.40","936.50","-2.85","-0.30","3.56","33.43","954.00","301.45","181.40","22.39"
"FRETAIL","48.00","48.45","47.65","47.80","-0.15","-0.31","5.66","2.71","95.30","40.55","-44.87","10.01"
"POLYPLEX","1,747.00","1,747.00","1,717.00","1,725.20","-5.40","-0.31","0.65","11.28","1,894.00","643.35","159.72","13.33"
"CHOLAFIN","591.00","597.40","578.00","584.05","-1.90","-0.32","9.55","55.95","620.75","221.95","153.99","14.50"
"DELTACORP","234.60","237.00","232.00","232.55","-0.75","-0.32","25.29","59.34","248.00","100.00","123.71","38.26"
"3MINDIA","25,500.00","25,500.00","24,801.20","24,940.05","-79.85","-0.32","0.01","3.38","31,000.00","18,024.25","34.31","7.53"
"SRTRANSFIN","1,395.00","1,406.80","1,373.60","1,378.65","-4.45","-0.32","5.87","81.41","1,534.95","555.55","124.87","7.74"
"RVNL","30.25","30.40","30.10","30.15","-0.10","-0.33","8.30","2.51","35.55","18.05","56.62","8.65"
"JCHAC","2,190.00","2,199.95","2,181.00","2,183.10","-7.25","-0.33","0.03","0.68","2,940.00","2,031.20","0.16","1.54"
"NILKAMAL","2,880.00","2,880.00","2,848.25","2,850.95","-9.85","-0.34","0.03","0.99","3,180.00","1,234.55","117.51","7.59"
"GODFRYPHLP","1,062.00","1,062.00","1,045.00","1,047.55","-3.80","-0.36","0.15","1.61","1,110.00","841.50","14.84","7.57"
"SUPRAJIT","314.95","318.00","313.05","313.80","-1.15","-0.37","0.46","1.45","358.00","163.00","86.18","-5.41"
"GUJGASLTD","630.00","635.10","623.00","624.50","-2.30","-0.37","7.35","46.17","786.00","281.00","108.65","-13.71"
"IDBI","39.00","39.50","38.60","38.80","-0.15","-0.39","66.87","26.06","45.00","26.35","12.46","4.58"
"BSE","1,191.00","1,192.70","1,174.20","1,178.20","-4.65","-0.39","1.37","16.22","1,410.00","466.00","118.83","10.09"
"TRITURBINE","138.15","139.45","137.35","137.60","-0.55","-0.40","0.51","0.71","150.40","66.00","95.45","9.69"
"RATNAMANI","2,179.95","2,202.00","2,162.25","2,180.00","-8.95","-0.41","0.08","1.74","2,248.35","1,153.00","84.91","5.13"
"SFL","2,501.90","2,505.80","2,410.00","2,468.20","-10.30","-0.42","0.21","5.06","2,519.00","1,222.15","77.33","8.44"
"CDSL","1,285.00","1,300.00","1,263.00","1,268.20","-5.40","-0.42","1.32","16.84","1,579.00","439.50","-","-"
"EQUITAS","119.95","120.20","117.10","118.75","-0.50","-0.42","7.55","9.04","138.20","40.20","136.55","-1.49"
"TORNTPOWER","497.80","501.95","490.30","493.00","-2.15","-0.43","4.88","24.23","508.70","293.00","53.39","7.07"
"NLCINDIA","57.00","57.60","56.35","56.50","-0.25","-0.44","9.07","5.16","73.75","46.20","11.66","11.11"
"NH","555.00","557.00","543.75","550.85","-2.45","-0.44","0.52","2.87","566.70","297.80","68.33","16.21"
"AMARAJABAT","740.00","740.00","728.35","733.00","-3.30","-0.45","3.31","24.25","1,025.55","665.00","0.88","6.86"
"M&MFIN","185.20","186.15","183.05","184.15","-0.85","-0.46","30.60","56.51","224.30","112.70","53.46","25.87"
"MHRIL","242.00","246.50","237.30","239.55","-1.10","-0.46","2.64","6.37","254.75","107.00","44.35","-23.22"
"CENTRALBK","21.20","21.45","20.90","21.00","-0.10","-0.47","19.81","4.18","29.65","10.10","25.75","6.87"
"MGL","1,116.80","1,122.80","1,097.30","1,099.85","-5.15","-0.47","4.08","45.26","1,284.40","779.65","30.48","-1.74"
"COCHINSHIP","365.60","365.70","361.50","362.00","-1.75","-0.48","0.62","2.25","433.90","303.60","16.01","3.93"
"GILLETTE","5,973.60","6,025.70","5,931.90","5,945.40","-28.55","-0.48","0.16","9.34","6,275.00","5,218.00","9.94","0.26"
"JKLAKSHMI","658.00","665.95","645.45","647.50","-3.10","-0.48","2.31","15.13","816.00","243.90","157.66","-7.92"
"HINDZINC","324.00","324.75","319.25","321.00","-1.55","-0.48","2.73","8.79","362.10","197.30","51.02","1.50"
"SUNDARMFIN","2,444.00","2,445.05","2,419.10","2,419.10","-11.85","-0.49","0.08","1.99","2,868.00","1,270.05","86.01","-4.41"
"DCBBANK","92.95","93.40","91.70","92.00","-0.45","-0.49","4.77","4.41","126.50","74.30","10.44","6.36"
"AJANTPHARM","2,175.40","2,183.85","2,167.85","2,173.00","-10.85","-0.50","0.32","7.05","2,435.00","1,501.05","38.83","-1.46"
"NESCO","620.00","621.95","605.00","613.15","-3.15","-0.51","0.56","3.44","696.80","465.00","10.32","7.47"
"PRINCEPIPE","707.00","709.45","691.00","697.60","-3.65","-0.52","1.94","13.56","794.40","210.00","204.30","13.80"
