Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"ZEEL","322.00","333.00","306.40","320.75","2.55","0.80","598.51","1,921.64","362.90","166.80","67.23","86.43"
"OFSS","4,715.00","4,849.00","4,699.50","4,734.95","36.90","0.79","2.05","97.92","4,931.55","2,931.05","55.38","3.25"
"JMFINANCIL","92.00","93.10","90.00","92.20","0.70","0.77","12.43","11.45","117.70","73.00","21.56","1.77"
"COFORGE","5,710.45","5,832.95","5,580.25","5,687.00","34.25","0.61","3.34","191.11","5,832.95","2,077.50","155.78","15.06"
"WHIRLPOOL","2,265.00","2,275.00","2,257.05","2,269.60","12.70","0.56","1.55","35.16","2,787.00","1,971.15","10.54","13.71"
"SRF","11,060.70","11,097.95","10,850.00","11,050.10","51.25","0.47","1.07","117.85","11,378.20","3,993.60","168.40","23.01"
"DHANI","182.00","184.30","181.25","181.85","0.80","0.44","5.62","10.25","395.95","155.10","-","-"
"GODREJAGRO","656.25","658.00","647.55","650.00","2.85","0.44","0.58","3.80","746.80","475.20","29.25","5.57"
"SUPREMEIND","2,270.00","2,274.00","2,245.00","2,260.00","9.85","0.44","0.26","5.92","2,360.00","1,322.60","60.20","11.71"
"SOLARINDS","2,000.00","2,025.00","1,993.70","2,008.05","8.15","0.41","0.35","6.99","2,049.00","978.00","93.76","17.66"
"HONAUT","44,245.00","44,487.00","43,695.45","44,166.60","170.80","0.39","0.02","7.94","49,990.00","27,850.00","36.82","12.09"
"ENDURANCE","1,570.60","1,595.00","1,563.40","1,568.45","6.05","0.39","1.49","23.35","1,829.95","974.95","47.78","-3.15"
"SJVN","27.05","27.20","26.60","27.10","0.10","0.37","9.31","2.51","30.80","20.65","22.07","5.24"
"COROMANDEL","807.60","825.00","806.00","809.00","2.85","0.35","4.89","39.92","956.00","682.00","2.73","3.21"
"SKFINDIA","3,025.00","3,030.00","2,992.20","3,010.00","10.00","0.33","0.14","4.12","3,263.00","1,430.10","103.43","7.50"
"PGHL","5,400.00","5,418.95","5,371.20","5,378.50","17.20","0.32","0.13","6.93","7,500.00","4,800.00","8.40","-1.12"
"ITI","119.10","120.95","118.00","118.75","0.35","0.30","2.78","3.32","143.80","102.00","-3.14","5.04"
"MINDAIND","739.00","739.95","730.30","735.10","1.85","0.25","0.71","5.18","834.00","309.55","125.63","1.79"
"BBTC","1,166.95","1,184.00","1,162.85","1,166.80","2.15","0.18","0.24","2.86","1,424.95","1,081.00","-12.52","0.99"
"MANAPPURAM","175.20","176.70","173.40","174.30","0.30","0.17","76.27","133.58","218.00","139.10","19.10","6.61"
"THERMAX","1,409.00","1,415.95","1,390.30","1,396.95","1.95","0.14","0.07","0.94","1,577.55","703.95","89.80","3.56"
"DIXON","4,434.00","4,479.85","4,351.55","4,401.85","5.55","0.13","3.71","163.74","21,499.00","3,345.15","-49.90","15.27"
"CREDITACC","662.90","663.80","653.00","657.80","0.85","0.13","0.41","2.73","839.95","542.10","-6.08","6.03"
"TTKPRESTIG","9,045.00","9,045.00","8,937.65","8,960.00","5.25","0.06","0.01","0.76","9,589.15","5,350.00","44.94","1.65"
"NATCOPHARM","890.00","890.00","874.10","884.95","0.55","0.06","1.22","10.72","1,189.00","771.50","3.93","-1.55"
"FORTIS","271.00","273.55","270.10","271.00","0.10","0.04","7.55","20.53","303.80","123.20","100.89","-3.23"
"ZYDUSWELL","2,361.70","2,379.40","2,342.70","2,350.00","0.65","0.03","0.10","2.38","2,476.85","1,680.95","37.09","5.78"
"ASTRAZEN","3,098.00","3,119.90","3,093.95","3,098.45","0.50","0.02","0.06","1.74","4,910.00","3,005.00","-28.20","0.42"
"GODREJPROP","2,199.85","2,273.75","2,172.25","2,199.65","0.35","0.02","39.90","883.74","2,314.30","835.05","154.46","50.76"
"ISEC","752.00","768.00","750.15","750.35","0.10","0.01","3.07","23.21","802.70","376.90","63.28","9.17"
"BEL","208.00","210.50","207.15","207.40","-0.05","-0.02","31.89","66.60","210.70","86.35","120.99","16.75"
"IRCTC","3,720.00","3,736.00","3,671.05","3,690.45","-3.60","-0.10","8.37","309.94","4,019.70","1,290.05","168.82","43.89"
"ABB","1,903.00","1,918.25","1,875.00","1,895.00","-3.10","-0.16","0.36","6.87","1,943.90","846.60","114.29","11.67"
"RBLBANK","187.15","189.00","184.90","186.10","-0.40","-0.21","96.19","179.32","274.30","155.60","11.87","14.70"
"M&MFIN","185.20","186.15","183.05","184.60","-0.40","-0.22","30.30","55.94","224.30","112.70","53.83","26.18"
"SUMICHEM","401.00","404.70","397.50","398.25","-0.90","-0.23","1.81","7.24","459.90","265.00","30.60","-0.24"
"SRTRANSFIN","1,395.00","1,406.80","1,373.60","1,379.75","-3.35","-0.24","5.85","81.23","1,534.95","555.55","125.04","7.83"
"RELAXO","1,179.95","1,193.30","1,162.80","1,168.00","-2.90","-0.25","1.67","19.72","1,253.95","625.00","80.07","-1.56"
"3MINDIA","25,500.00","25,500.00","24,801.20","24,950.00","-69.90","-0.28","0.01","3.37","31,000.00","18,024.25","34.36","7.57"
"VGUARD","259.70","259.85","255.40","257.50","-0.75","-0.29","1.58","4.07","285.00","162.60","53.27","7.14"
"CHOLAFIN","591.00","597.40","578.00","584.10","-1.85","-0.32","9.53","55.85","620.75","221.95","154.01","14.51"
"ATUL","9,700.00","9,711.60","9,560.80","9,565.00","-37.40","-0.39","0.03","3.07","9,999.00","5,760.00","59.96","7.14"
"GUJGASLTD","630.00","635.10","623.00","624.30","-2.50","-0.40","7.32","45.98","786.00","281.00","108.59","-13.74"
"GILLETTE","5,973.60","6,025.70","5,931.90","5,950.00","-23.95","-0.40","0.15","9.26","6,275.00","5,218.00","10.03","0.34"
"TORNTPOWER","497.80","501.95","490.30","493.05","-2.10","-0.42","4.87","24.19","508.70","293.00","53.41","7.08"
"SUNDARMFIN","2,444.00","2,445.05","2,419.10","2,420.25","-10.70","-0.44","0.08","1.99","2,868.00","1,270.05","86.09","-4.36"
"AMARAJABAT","740.00","740.00","728.35","732.95","-3.35","-0.45","3.30","24.16","1,025.55","665.00","0.87","6.85"
"HINDZINC","324.00","324.75","319.25","321.00","-1.55","-0.48","2.72","8.75","362.10","197.30","51.02","1.50"
"AJANTPHARM","2,175.40","2,183.85","2,167.85","2,173.05","-10.80","-0.49","0.32","7.04","2,435.00","1,501.05","38.83","-1.46"
"IDBI","39.00","39.50","38.60","38.75","-0.20","-0.51","66.51","25.92","45.00","26.35","12.32","4.45"
"MGL","1,116.80","1,122.80","1,097.30","1,099.15","-5.85","-0.53","4.08","45.22","1,284.40","779.65","30.40","-1.80"
"UNIONBANK","35.00","35.20","34.60","34.65","-0.20","-0.57","25.71","8.94","45.25","23.10","37.77","3.90"
"PERSISTENT","3,825.00","3,833.00","3,725.45","3,750.05","-21.95","-0.58","1.99","74.95","3,838.75","1,063.40","206.01","16.64"
"SUNDRMFAST","930.30","939.90","914.00","914.85","-5.65","-0.61","0.56","5.17","959.00","391.50","125.44","19.03"
"AARTIIND","920.00","923.25","906.75","912.30","-5.75","-0.63","3.48","31.84","987.00","483.23","-11.30","-0.94"
"GLAXO","1,509.50","1,516.95","1,496.20","1,499.80","-9.60","-0.64","0.20","2.96","1,767.40","1,376.00","-5.56","-2.13"
"VOLTAS","1,249.25","1,256.80","1,233.20","1,240.45","-8.15","-0.65","8.15","101.18","1,265.00","639.40","86.14","27.40"
"MOTILALOFS","878.90","887.60","865.85","867.60","-5.75","-0.66","4.15","36.41","1,188.00","538.00","38.80","8.33"
"NAVINFLUOR","3,935.00","3,950.90","3,870.00","3,900.00","-25.90","-0.66","0.61","23.66","4,212.75","1,950.00","91.86","6.86"
"GSPL","321.60","324.10","315.65","319.10","-2.15","-0.67","4.69","14.93","379.20","177.40","59.99","-10.77"
"INDIAMART","8,629.20","8,730.00","8,462.10","8,503.60","-58.95","-0.69","0.70","60.15","9,950.00","4,515.00","73.40","21.09"
"CASTROLIND","142.35","142.35","140.00","140.15","-1.00","-0.71","2.93","4.13","154.90","104.00","25.75","7.68"
"TVSMOTOR","541.70","543.55","533.05","535.80","-3.90","-0.72","6.69","36.04","666.00","421.15","21.11","5.46"
"SANOFI","8,230.00","8,250.00","8,078.45","8,123.85","-59.70","-0.73","0.06","4.97","9,285.00","7,056.55","-4.24","-8.76"
"NIACL","164.90","165.95","161.00","162.00","-1.20","-0.74","2.90","4.75","197.00","99.80","56.45","6.02"
"VBL","936.20","942.00","916.00","923.80","-7.20","-0.77","2.01","18.62","952.00","430.90","36.12","14.50"
"HAL","1,366.80","1,376.40","1,327.45","1,349.05","-10.70","-0.79","4.16","56.61","1,486.95","658.00","74.97","16.30"
"FEDERALBNK","82.50","82.55","80.80","81.20","-0.65","-0.79","56.90","46.46","92.50","45.35","67.60","1.37"
"BALKRISIND","2,664.80","2,664.80","2,615.00","2,626.80","-21.75","-0.82","1.52","39.98","2,723.80","1,299.10","94.75","14.84"
"IBULHSGFIN","230.80","238.20","224.55","227.60","-2.05","-0.89","120.60","281.33","313.70","127.75","50.08","1.20"
"PFIZER","5,820.05","5,890.00","5,758.55","5,777.20","-52.80","-0.91","0.12","6.92","6,175.00","4,330.00","17.61","-0.77"
"BATAINDIA","1,804.95","1,806.00","1,772.05","1,782.35","-16.35","-0.91","1.29","22.94","1,848.70","1,263.60","32.69","4.34"
"BAYERCROP","5,425.00","5,430.00","5,352.00","5,355.15","-49.90","-0.92","0.03","1.81","6,149.00","4,921.70","-10.53","-1.98"
"VINATIORGA","1,888.85","1,888.85","1,860.00","1,861.50","-17.80","-0.95","0.14","2.70","2,132.00","1,087.00","54.21","4.27"
"BHEL","57.15","59.15","56.30","56.60","-0.55","-0.96","400.66","231.98","79.55","26.75","79.68","6.29"
"RECLTD","155.60","157.25","153.65","153.90","-1.50","-0.97","21.74","33.86","167.80","91.80","53.90","6.58"
"POLYCAB","2,442.00","2,447.70","2,391.55","2,402.55","-24.10","-0.99","2.40","57.95","2,627.00","800.10","190.51","31.51"
"CUMMINSIND","1,030.00","1,041.25","1,009.55","1,017.10","-10.70","-1.04","2.81","28.88","1,064.45","425.00","124.13","2.09"
"CRISIL","2,894.90","2,926.25","2,841.00","2,860.40","-30.55","-1.06","0.17","4.84","3,330.00","1,690.00","63.42","10.17"
"CROMPTON","488.50","488.50","479.05","483.50","-5.30","-1.08","5.28","25.48","512.80","255.10","77.72","6.39"
"BANKINDIA","55.05","55.15","53.90","54.00","-0.60","-1.10","35.32","19.26","101.40","38.20","33.50","-14.96"
"GODREJIND","594.80","600.80","581.15","582.25","-6.55","-1.11","4.73","28.07","617.65","352.00","45.16","6.91"
"CONCOR","715.00","721.25","699.45","703.65","-8.30","-1.17","6.44","45.62","754.40","351.00","86.60","8.52"
"SYNGENE","663.00","663.95","649.55","650.60","-8.05","-1.22","2.01","13.20","700.00","490.50","16.56","9.41"
"TIINDIA","1,498.00","1,508.55","1,458.50","1,475.55","-18.55","-1.24","0.37","5.51","1,548.70","522.70","163.44","15.16"
"TRENT","1,017.30","1,025.35","985.70","993.90","-12.65","-1.26","4.07","40.84","1,050.00","585.00","58.74","10.34"
"CUB","152.60","153.65","150.35","150.60","-1.95","-1.28","4.87","7.42","200.00","132.00","11.51","2.59"
"AIAENG","2,019.85","2,034.05","1,976.00","1,980.00","-26.85","-1.34","0.29","5.84","2,234.00","1,620.00","11.47","2.85"
"HATSUN","1,381.00","1,406.75","1,345.45","1,364.45","-19.40","-1.40","0.22","3.05","1,525.95","546.84","79.21","35.01"
"RAMCOCEM","973.60","978.65","955.40","958.15","-13.75","-1.41","1.93","18.58","1,132.70","687.80","32.32","-0.21"
"EXIDEIND","182.45","183.15","179.00","179.10","-2.65","-1.46","24.88","44.96","219.30","154.05","13.75","12.39"
"NAM-INDIA","448.50","448.75","435.00","437.45","-6.50","-1.46","4.47","19.73","454.30","249.00","66.14","9.46"
"LAURUSLABS","625.30","626.90","612.00","612.90","-9.25","-1.49","12.29","75.72","1,495.00","252.00","-55.11","-8.76"
"CANBK","161.00","161.70","157.50","158.30","-2.50","-1.55","49.64","79.22","174.60","82.25","79.58","1.67"
"IDFCFIRSTB","48.70","49.10","47.65","47.75","-0.75","-1.55","171.74","83.04","69.30","26.85","67.84","11.31"
"PFC","138.70","139.90","136.10","136.10","-2.15","-1.56","19.41","26.78","140.80","82.05","57.89","8.66"
"BANKBARODA","80.05","80.20","78.10","78.40","-1.25","-1.57","135.84","107.24","99.85","39.50","88.69","3.84"
"TATACOMM","1,467.40","1,467.40","1,435.05","1,438.70","-23.30","-1.59","0.61","8.82","1,522.00","778.00","78.55","2.17"
"SCHAEFFLER","7,516.25","7,516.25","7,270.10","7,288.85","-120.80","-1.63","0.05","3.81","7,590.75","3,443.30","100.01","4.13"
"MAXHEALTH","373.75","376.85","364.50","365.45","-6.10","-1.64","2.75","10.10","402.60","97.15","229.38","12.34"
"JKCEMENT","3,228.00","3,238.85","3,142.10","3,142.10","-53.25","-1.67","0.22","7.07","3,699.90","1,460.45","109.36","2.97"
"AUBANK","1,114.00","1,124.40","1,077.85","1,084.40","-19.15","-1.74","5.22","57.35","1,389.85","616.70","65.72","-20.25"
"CESC","86.60","87.00","84.00","84.65","-1.50","-1.74","30.49","25.91","96.90","55.51","-86.89","-88.99"
"GLENMARK","512.50","515.45","502.00","502.85","-9.15","-1.79","4.75","24.15","690.95","442.05","6.82","-3.60"
"ASHOKLEY","129.70","130.00","126.25","126.55","-2.30","-1.79","63.18","80.75","143.30","66.85","71.94","5.72"
"DALBHARAT","2,140.00","2,142.90","2,070.00","2,087.35","-39.80","-1.87","1.46","30.68","2,548.40","721.55","178.26","3.67"
"SAIL","110.70","111.50","108.00","108.35","-2.10","-1.90","234.15","257.14","151.30","32.65","211.35","-9.10"
"IPCALAB","2,486.00","2,497.50","2,415.55","2,425.00","-49.55","-2.00","0.73","17.85","2,766.20","1,785.40","13.55","-3.10"
"SUVENPHAR","544.95","548.60","527.10","529.70","-11.05","-2.04","0.85","4.57","590.00","291.60","-27.84","-2.60"
"JSWENERGY","350.90","352.90","343.00","343.60","-7.30","-2.08","2.51","8.68","354.40","54.60","-","-"
"LICHSGFIN","443.85","443.85","430.00","431.70","-9.15","-2.08","23.25","101.34","542.45","260.00","55.26","14.19"
"ESCORTS","1,514.80","1,514.90","1,471.20","1,475.50","-32.90","-2.18","6.19","92.21","1,571.90","1,100.00","21.57","13.82"
"L&TFH","88.25","88.50","85.60","85.85","-1.95","-2.22","40.65","35.30","113.40","51.96","44.16","8.06"
"PIIND","3,272.15","3,284.60","3,175.95","3,189.95","-76.40","-2.34","1.52","49.02","3,534.90","1,862.00","68.65","1.34"
"JINDALSTEL","372.90","372.90","362.25","362.25","-8.90","-2.40","42.77","157.09","501.70","160.00","106.06","-2.82"
"BHARATFORG","768.00","774.90","745.05","745.75","-18.55","-2.43","9.52","72.12","844.80","427.50","66.97","0.64"
"METROPOLIS","3,110.00","3,132.40","3,005.00","3,032.95","-80.75","-2.59","1.11","34.32","3,240.00","1,700.00","75.37","13.20"
"TATAPOWER","145.00","145.35","139.50","139.90","-3.75","-2.61","161.55","229.37","145.35","50.10","161.74","11.12"
"INDHOTEL","186.65","186.90","177.10","179.00","-4.95","-2.69","68.41","124.06","186.90","88.65","94.57","28.22"
"SUNTV","531.00","533.60","510.20","514.00","-14.60","-2.76","29.23","152.45","586.55","407.80","11.57","3.36"
"APLLTD","819.95","823.60","788.20","795.00","-25.25","-3.08","2.96","23.75","1,145.00","720.35","-13.10","7.53"
"APOLLOTYRE","238.20","238.50","228.25","228.55","-8.40","-3.55","36.88","85.50","261.25","113.55","88.42","9.35"
"LALPATHLAB","4,050.00","4,050.00","3,873.05","3,874.00","-166.10","-4.11","1.67","65.82","4,245.50","1,760.00","113.57","1.12"

