Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"HDFCAMC","3,254.10","3,264.50","3,201.20","3,215.00","-25.65","-0.79","1.13","36.30","3,365.00","2,070.05","50.02","10.01"
"BANDHANBNK","290.00","290.80","284.40","286.35","-2.40","-0.83","18.19","52.23","430.70","251.40","6.87","8.16"
"IGL","540.00","541.50","532.20","532.75","-4.55","-0.85","6.42","34.46","602.05","364.10","30.69","1.51"
"PNB","39.00","39.00","38.00","38.15","-0.35","-0.91","192.26","73.87","46.35","26.30","29.98","4.95"
"BOSCHLTD","15,400.00","15,439.75","15,212.40","15,226.40","-142.90","-0.93","0.16","24.37","16,830.05","11,265.05","19.43","9.67"
"NMDC","143.60","145.05","140.75","141.45","-1.45","-1.01","66.02","94.03","213.20","75.60","76.37","-8.59"
"GODREJCP","1,059.00","1,066.30","1,040.80","1,046.90","-11.15","-1.05","8.88","93.18","1,138.00","646.15","54.21","3.30"
"SIEMENS","2,170.00","2,171.55","2,136.70","2,138.70","-24.00","-1.11","0.53","11.50","2,318.00","1,185.95","73.80","-2.78"
"ABBOTINDIA","21,699.00","21,728.00","21,201.20","21,350.00","-254.40","-1.18","0.07","15.06","21,870.00","13,959.80","33.53","12.81"
"ICICIPRULI","686.00","693.50","677.00","677.00","-8.75","-1.28","11.85","81.14","724.30","397.55","65.65","1.20"
"LUPIN","943.00","947.00","926.25","927.00","-13.35","-1.42","6.23","58.18","1,267.65","855.35","-8.81","-1.36"
"AMBUJACEM","421.00","423.50","411.35","413.20","-6.35","-1.51","15.64","65.08","442.50","197.45","97.47","4.51"
"AUROPHARMA","735.70","737.20","722.05","722.40","-11.05","-1.51","10.54","76.74","1,063.90","660.30","-7.41","4.97"
"UBL","1,658.00","1,666.00","1,617.00","1,627.95","-26.40","-1.60","3.00","49.24","1,686.00","897.00","68.98","11.96"
"HAVELLS","1,442.00","1,448.90","1,403.00","1,414.00","-24.25","-1.69","5.12","72.50","1,482.70","650.70","109.56","11.72"
"VEDL","299.00","299.00","293.40","294.30","-5.30","-1.77","49.07","144.92","341.45","91.20","126.38","2.76"
"SBICARD","1,049.95","1,052.70","1,025.00","1,030.30","-18.70","-1.78","29.49","304.49","1,165.00","766.10","25.49","0.23"
"BIOCON","368.50","369.85","359.30","360.40","-7.80","-2.12","10.23","37.15","487.75","327.55","-14.98","3.12"
"ACC","2,368.00","2,372.95","2,297.00","2,298.50","-52.55","-2.24","2.46","57.23","2,509.00","1,293.65","69.67","0.77"
"NAUKRI","6,850.00","6,888.00","6,670.20","6,680.30","-156.65","-2.29","1.71","115.45","6,985.00","3,323.00","97.13","15.96"
"ADANITRANS","1,520.00","1,547.00","1,502.00","1,503.10","-44.50","-2.88","0.66","10.11","1,990.00","233.55","819.89","21.36"
"INDIGO","2,217.00","2,221.90","2,150.00","2,151.80","-64.70","-2.92","4.79","104.23","2,307.15","1,180.85","67.76","27.14"
"APOLLOHOSP","5,156.10","5,198.00","4,775.35","4,795.90","-288.30","-5.67","10.31","510.56","5,198.00","1,760.15","163.83","-0.93"

